Image Path,Mask Path
DATASET_RGM/train/images/i7756626_-363937_1.50_45.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.50_45.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.50_150.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.50_150.00.png
DATASET_RGM/train/images/i7756626_-363937_0.50_45.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.50_45.00.png
DATASET_RGM/train/images/i7756626_-363937_1.50_105.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.50_105.00.png
DATASET_RGM/train/images/i7756626_-363937_-0.50_45.00.png,DATASET_RGM/train/masks/r7756626_-363937_-0.50_45.00.png
DATASET_RGM/train/images/i7756626_-363937_-0.50_345.00.png,DATASET_RGM/train/masks/r7756626_-363937_-0.50_345.00.png
DATASET_RGM/train/images/i7756626_-363937_-0.50_270.00.png,DATASET_RGM/train/masks/r7756626_-363937_-0.50_270.00.png
DATASET_RGM/train/images/i7756626_-363937_0.50_30.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.50_30.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.50_45.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.50_45.00.png
DATASET_RGM/train/images/i7756626_-363937_1.00_45.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.00_45.00.png
DATASET_RGM/train/images/i7756626_-363937_0.00_120.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.00_120.00.png
DATASET_RGM/train/images/i7756626_-363937_1.00_105.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.00_105.00.png
DATASET_RGM/train/images/i7756626_-363937_0.50_180.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.50_180.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.50_30.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.50_30.00.png
DATASET_RGM/train/images/i7756626_-363937_1.00_120.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.00_120.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.00_225.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.00_225.00.png
DATASET_RGM/train/images/i7756626_-363937_1.00_240.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.00_240.00.png
DATASET_RGM/train/images/i7756626_-363937_1.50_210.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.50_210.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.00_270.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.00_270.00.png
DATASET_RGM/train/images/i7756626_-363937_1.50_30.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.50_30.00.png
DATASET_RGM/train/images/i7756626_-363937_0.00_165.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.00_165.00.png
DATASET_RGM/train/images/i7756626_-363937_0.50_90.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.50_90.00.png
DATASET_RGM/train/images/i7756626_-363937_0.50_60.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.50_60.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.00_180.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.00_180.00.png
DATASET_RGM/train/images/i7756626_-363937_0.00_345.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.00_345.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.00_45.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.00_45.00.png
DATASET_RGM/train/images/i7756626_-363937_-0.50_90.00.png,DATASET_RGM/train/masks/r7756626_-363937_-0.50_90.00.png
DATASET_RGM/train/images/i7756626_-363937_1.50_330.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.50_330.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.00_165.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.00_165.00.png
DATASET_RGM/train/images/i7756626_-363937_-0.50_105.00.png,DATASET_RGM/train/masks/r7756626_-363937_-0.50_105.00.png
DATASET_RGM/train/images/i7756626_-363937_0.00_0.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.00_0.00.png
DATASET_RGM/train/images/i7756626_-363937_0.00_210.00.png,DATASET_RGM/train/masks/r7756626_-363937_0.00_210.00.png
DATASET_RGM/train/images/i7756626_-363937_1.50_135.00.png,DATASET_RGM/train/masks/r7756626_-363937_1.50_135.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.50_0.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.50_0.00.png
DATASET_RGM/train/images/i7756626_-363937_-1.00_105.00.png,DATASET_RGM/train/masks/r7756626_-363937_-1.00_105.00.png
